epoch,train_loss,val_loss,val_mrr10,learning_rate,time_seconds
1,0.6881,0.1261,0.8948,1.9382326422635715e-05,1188.68
2,0.0951,0.1152,0.8921,1.4972409378419427e-05,1592.98
3,0.0466,0.1028,0.9031,8.242624716566928e-06,1486.88
4,0.0304,0.1049,0.8998,2.3327399667700487e-06,1412.62
5,0.0243,0.106,0.8995,0.0,1511.15
