epoch,train_loss,val_loss,val_mrr10,lr,timestamp
1,3.03605,1.8666,0.5434,7.000000e-04,2026-09-17T06:04:35.865579+00:00
2,0.96799,0.96755,0.6593,9.966192e-04,2026-09-17T06:05:44.612663+00:00
3,0.21565,0.93523,0.6752,9.698463e-04,2026-09-17T06:10:10.666067+00:00
4,0.09869,0.91943,0.6894,9.177439e-04,2026-09-17T06:12:23.136639+00:00
5,0.06266,0.91247,0.7244,8.431208e-04,2026-09-17T06:16:44.280191+00:00
6,0.04071,0.84062,0.7373,7.500000e-04,2026-09-17T06:25:24.880366+00:00
7,0.02722,0.82873,0.7444,6.434016e-04,2026-09-17T06:35:56.044610+00:00
8,0.0225,0.83593,0.7494,5.290724e-04,2026-09-17T06:46:52.186716+00:00
9,0.01915,0.82515,0.7356,4.131759e-04,2026-09-17T06:58:01.350319+00:00
10,0.01549,0.82796,0.7435,3.019601e-04,2026-09-17T07:09:31.716884+00:00
11,0.01378,0.82956,0.7395,2.014207e-04,2026-09-17T07:21:43.142874+00:00
12,0.01059,0.84791,0.7396,1.169778e-04,2026-09-17T07:33:51.003508+00:00
