epoch,train_loss,val_loss,val_mrr10,learning_rate,time_seconds
1,0.9558,1.4313,0.7634,0.0009890738003669028,0.37
2,0.2877,1.3682,0.7432,0.0009567727288213002,0.36
3,0.1512,1.2563,0.7599,0.0009045084971874736,0.36
4,0.0972,1.176,0.7795,0.000834565303179429,0.35
5,0.0683,1.1548,0.7601,0.0007499999999999998,0.35
6,0.0526,1.1025,0.7833,0.0006545084971874734,0.35
7,0.0494,1.1016,0.7744,0.0005522642316338267,0.35
8,0.0397,1.073,0.7662,0.00044773576836617336,0.37
9,0.0379,1.0417,0.778,0.0003454915028125263,0.35
10,0.029,1.0326,0.7842,0.00025,0.35
11,0.0265,0.9995,0.7799,0.00016543469682057076,0.35
12,0.0246,0.9991,0.7865,9.549150281252634e-05,0.35
13,0.022,1.008,0.786,4.322727117869964e-05,0.32
14,0.0254,1.0035,0.7867,1.0926199633097158e-05,0.34
15,0.0218,1.0025,0.7867,0.0,0.34
