epoch,train_loss,val_loss,val_mrr10,learning_rate,time_seconds
1,2.8315,3.3617,0.3391,0.009890738003669028,0.39
2,1.2824,2.442,0.529,0.009567727288213004,0.4
3,0.6545,2.2869,0.5483,0.009045084971874732,0.38
4,0.3712,1.9669,0.6323,0.008345653031794286,0.37
5,0.2163,1.8992,0.6396,0.007499999999999999,0.35
6,0.1278,1.8325,0.6435,0.006545084971874741,0.35
7,0.1185,1.8779,0.6333,0.00552264231633827,0.35
8,0.1038,1.8378,0.674,0.004477357683661738,0.37
9,0.0861,1.7465,0.6669,0.003454915028125267,0.4
10,0.0651,1.7319,0.6887,0.002500000000000004,0.41
11,0.0596,1.7289,0.6674,0.0016543469682057106,0.37
12,0.0582,1.7323,0.6817,0.0009549150281252648,0.36
13,0.0572,1.7282,0.6923,0.0004322727117869968,0.37
14,0.0535,1.7162,0.6886,0.00010926199633097171,0.36
15,0.048,1.7149,0.6886,0.0,0.36
