epoch,train_loss,val_loss,val_mrr10,epoch_time_sec
1,3.0607321990860834,2.5466132164001465,0.4502,529.3274550437927
2,2.463034020529853,2.079800081253052,0.4954,575.2788124084473
3,2.1942020687792034,1.9832591533660888,0.5044,386.4837577342987
