epoch,train_loss,val_loss,val_mrr10,lr,timestamp
1,3.30223,2.40671,0.579,7.000000e-04,2026-09-17T07:47:39.350387+00:00
2,1.61786,1.18752,0.5999,9.966192e-04,2026-09-17T07:49:26.103526+00:00
3,0.53801,0.93782,0.672,9.698463e-04,2026-09-17T07:51:36.567691+00:00
4,0.26688,0.87463,0.6964,9.177439e-04,2026-09-17T07:53:26.422897+00:00
5,0.14994,0.85707,0.7307,8.431208e-04,2026-09-17T07:57:59.091845+00:00
6,0.10568,0.8615,0.7219,7.500000e-04,2026-09-17T08:01:47.563442+00:00
7,0.07049,0.78673,0.7445,6.434016e-04,2026-09-17T08:09:06.794546+00:00
8,0.06128,0.84529,0.7463,5.290724e-04,2026-09-17T08:15:52.425872+00:00
9,0.04526,0.88305,0.7415,4.131759e-04,2026-09-17T08:24:30.386805+00:00
10,0.04121,0.86652,0.7347,3.019601e-04,2026-09-17T08:31:46.249889+00:00
11,0.04028,0.84781,0.749,2.014207e-04,2026-09-17T08:40:01.122574+00:00
12,0.03108,0.8521,0.7434,1.169778e-04,2026-09-17T08:48:55.847039+00:00
13,0.03352,0.84578,0.7488,5.318368e-05,2026-09-17T08:58:36.717029+00:00
14,0.03339,0.84362,0.7537,1.347756e-05,2026-09-17T09:08:32.357297+00:00
15,0.03302,0.84301,0.7515,0.000000e+00,2026-09-17T09:18:39.359882+00:00
