epoch,train_loss,val_loss,val_mrr10,lr,timestamp
1,2.41547,1.19677,0.5803,2.100000e-03,2026-09-17T09:21:17.685392+00:00
2,0.45341,0.98925,0.6767,2.989858e-03,2026-09-17T09:21:43.942074+00:00
3,0.19163,1.15002,0.6669,2.909539e-03,2026-09-17T09:22:20.822550+00:00
4,0.13828,0.96208,0.6729,2.753232e-03,2026-09-17T09:24:54.876159+00:00
5,0.08461,0.97799,0.7145,2.529362e-03,2026-09-17T09:33:04.690631+00:00
6,0.05866,1.09066,0.6968,2.250000e-03,2026-09-17T09:43:17.638482+00:00
7,0.03536,0.9539,0.7397,1.930205e-03,2026-09-17T09:51:39.088051+00:00
8,0.02778,1.11948,0.7258,1.587217e-03,2026-09-17T10:03:25.935961+00:00
9,0.0175,1.02033,0.7165,1.239528e-03,2026-09-17T10:17:45.873043+00:00
10,0.01437,1.04175,0.7294,9.058804e-04,2026-09-17T10:26:45.954177+00:00
11,0.01124,1.05028,0.7329,6.042621e-04,2026-09-17T10:39:21.888610+00:00
