epoch,train_loss,val_loss,val_mrr10,learning_rate,time_seconds
1,2.831,3.3641,0.3397,0.009890738003669028,0.37
2,1.2831,2.4436,0.5342,0.009567727288213004,0.4
3,0.6552,2.2908,0.5483,0.009045084971874732,0.39
4,0.3714,1.9683,0.6357,0.008345653031794286,0.39
5,0.2167,1.9002,0.6385,0.007499999999999999,0.38
6,0.1279,1.83,0.6486,0.006545084971874741,0.4
7,0.1185,1.8782,0.6325,0.00552264231633827,0.35
8,0.1038,1.8346,0.6797,0.004477357683661738,0.36
9,0.0859,1.7418,0.6714,0.003454915028125267,0.38
10,0.0649,1.7281,0.6893,0.002500000000000004,0.37
11,0.0589,1.725,0.6687,0.0016543469682057106,0.38
12,0.0574,1.7296,0.6812,0.0009549150281252648,0.39
13,0.0565,1.725,0.6922,0.0004322727117869968,0.36
14,0.0527,1.7124,0.6888,0.00010926199633097171,0.37
15,0.0474,1.7109,0.6886,0.0,0.35
