run_name,lr,weight_decay,trainable_params,best_epoch,best_val_mrr10,val_loss,train_loss,train_time_sec,checkpoint_path
a3_lr2e-5_wd0.01,0.00002,0.01,278043648,4,0.9095,0.1032,0.0258,1129.35,results/checkpoints/a3_lr2e-5_wd0.01/best.pt
a3_lr2e-5_wd0.0,0.00002,0.00,278043648,4,0.9095,0.1032,0.0257,1145.91,results/checkpoints/a3_lr2e-5_wd0.0/best.pt
a3_lr3e-5_wd0.0,0.00003,0.00,278043648,4,0.9082,0.1161,0.0181,1312.93,results/checkpoints/a3_lr3e-5_wd0.0/best.pt
a3_lr3e-5_wd0.01,0.00003,0.01,278043648,4,0.9081,0.1163,0.0181,1227.61,results/checkpoints/a3_lr3e-5_wd0.01/best.pt
a3_lr1e-5_wd0.01,0.00001,0.01,278043648,3,0.9023,0.0946,0.0777,1163.07,results/checkpoints/a3_lr1e-5_wd0.01/best.pt
a3_lr1e-5_wd0.0,0.00001,0.00,278043648,3,0.9023,0.0946,0.0777,1258.37,results/checkpoints/a3_lr1e-5_wd0.0/best.pt
